filename,elapsed_time,input_size,output_size,format,video_codec,audio_codec,wasm,index
"earth.mp4",6.401864999999816,1570024,1322592,"matroska","mpeg4","aac",1,33
"earth.mp4",6.516394999998738,1570024,1322592,"matroska","mpeg4","aac",1,34
"earth.mp4",6.1989099999991595,1570024,1322592,"matroska","mpeg4","aac",1,35
"earth.mp4",6.459885000003851,1570024,1322592,"matroska","mpeg4","aac",1,36
"earth.mp4",6.196820000004664,1570024,1322592,"matroska","mpeg4","aac",1,37
"earth.mp4",6.299800000000687,1570024,1322592,"matroska","mpeg4","aac",1,38
"earth.mp4",6.35570000000007,1570024,1322592,"matroska","mpeg4","aac",1,39
"earth.mp4",6.421825000004901,1570024,1322592,"matroska","mpeg4","aac",1,40
"earth.mp4",6.289949999998498,1570024,1322592,"matroska","mpeg4","aac",1,41
"earth.mp4",6.254390000001877,1570024,1322592,"matroska","mpeg4","aac",1,42
"earth.mp4",6.1876850000044215,1570024,1322592,"matroska","mpeg4","aac",1,43
"earth.mp4",6.2803100000019185,1570024,1322592,"matroska","mpeg4","aac",1,44
"earth.mp4",6.415150000000722,1570024,1322592,"matroska","mpeg4","aac",1,45
"earth.mp4",6.196540000004461,1570024,1322592,"matroska","mpeg4","aac",1,46
"earth.mp4",6.3164099999994505,1570024,1322592,"matroska","mpeg4","aac",1,47
"earth.mp4",6.439494999998715,1570024,1322592,"matroska","mpeg4","aac",1,48
"earth.mp4",6.505055000001448,1570024,1322592,"matroska","mpeg4","aac",1,49
"earth.mp4",6.318590000002587,1570024,1322592,"matroska","mpeg4","aac",1,50
"earth.mp4",14.948335000000952,1570024,1322592,"matroska","mpeg4","aac",0,1
"earth.mp4",14.872695000005479,1570024,1322592,"matroska","mpeg4","aac",0,2
"earth.mp4",14.994364999998652,1570024,1322592,"matroska","mpeg4","aac",0,3
"earth.mp4",15.124340000002121,1570024,1322592,"matroska","mpeg4","aac",0,4
"earth.mp4",14.988724999995611,1570024,1322592,"matroska","mpeg4","aac",0,5
"earth.mp4",14.845539999994799,1570024,1322592,"matroska","mpeg4","aac",0,6
"earth.mp4",14.92685000000347,1570024,1322592,"matroska","mpeg4","aac",0,7
"earth.mp4",14.832949999996345,1570024,1322592,"matroska","mpeg4","aac",0,8
"earth.mp4",15.136324999999488,1570024,1322592,"matroska","mpeg4","aac",0,9
"earth.mp4",14.955535000000964,1570024,1322592,"matroska","mpeg4","aac",0,10
"earth.mp4",14.867154999999912,1570024,1322592,"matroska","mpeg4","aac",0,11
"earth.mp4",14.989379999999073,1570024,1322592,"matroska","mpeg4","aac",0,12
"earth.mp4",15.050299999995332,1570024,1322592,"matroska","mpeg4","aac",0,13
"earth.mp4",14.991345000002184,1570024,1322592,"matroska","mpeg4","aac",0,14
"earth.mp4",14.879625000001397,1570024,1322592,"matroska","mpeg4","aac",0,15
"earth.mp4",14.944414999998116,1570024,1322592,"matroska","mpeg4","aac",0,16
"earth.mp4",14.89002499999333,1570024,1322592,"matroska","mpeg4","aac",0,17
"earth.mp4",14.990295000003243,1570024,1322592,"matroska","mpeg4","aac",0,18
"earth.mp4",15.202830000001995,1570024,1322592,"matroska","mpeg4","aac",0,19
"earth.mp4",15.15686999999889,1570024,1322592,"matroska","mpeg4","aac",0,20
"earth.mp4",15.140375000002678,1570024,1322592,"matroska","mpeg4","aac",0,21
"earth.mp4",14.95394999999553,1570024,1322592,"matroska","mpeg4","aac",0,22
"earth.mp4",15.201584999995248,1570024,1322592,"matroska","mpeg4","aac",0,23
"earth.mp4",14.860070000002452,1570024,1322592,"matroska","mpeg4","aac",0,24
"earth.mp4",14.76973999999609,1570024,1322592,"matroska","mpeg4","aac",0,25
"earth.mp4",14.73266500000318,1570024,1322592,"matroska","mpeg4","aac",0,26
"earth.mp4",15.524389999998675,1570024,1322592,"matroska","mpeg4","aac",0,27
"earth.mp4",15.208939999996801,1570024,1322592,"matroska","mpeg4","aac",0,28
"earth.mp4",14.865160000001197,1570024,1322592,"matroska","mpeg4","aac",0,29
"earth.mp4",15.029194999995525,1570024,1322592,"matroska","mpeg4","aac",0,30
"earth.mp4",14.928824999995413,1570024,1322592,"matroska","mpeg4","aac",0,31
"earth.mp4",14.902185000006284,1570024,1322592,"matroska","mpeg4","aac",0,32
"earth.mp4",14.93593000000692,1570024,1322592,"matroska","mpeg4","aac",0,33
"earth.mp4",15.10426500000176,1570024,1322592,"matroska","mpeg4","aac",0,34
"earth.mp4",14.912270000000717,1570024,1322592,"matroska","mpeg4","aac",0,35
"earth.mp4",14.940569999998843,1570024,1322592,"matroska","mpeg4","aac",0,36
"earth.mp4",14.884925000005751,1570024,1322592,"matroska","mpeg4","aac",0,37
"earth.mp4",14.972374999997555,1570024,1322592,"matroska","mpeg4","aac",0,38
"earth.mp4",15.084000000002561,1570024,1322592,"matroska","mpeg4","aac",0,39
"earth.mp4",14.921484999998938,1570024,1322592,"matroska","mpeg4","aac",0,40
"earth.mp4",14.839404999998806,1570024,1322592,"matroska","mpeg4","aac",0,41
"earth.mp4",14.926955000002636,1570024,1322592,"matroska","mpeg4","aac",0,42
"earth.mp4",14.77232499999809,1570024,1322592,"matroska","mpeg4","aac",0,43
"earth.mp4",14.995490000001155,1570024,1322592,"matroska","mpeg4","aac",0,44
"earth.mp4",15.011500000000524,1570024,1322592,"matroska","mpeg4","aac",0,45
"earth.mp4",14.846154999999271,1570024,1322592,"matroska","mpeg4","aac",0,46
"earth.mp4",15.584990000003017,1570024,1322592,"matroska","mpeg4","aac",0,47
"earth.mp4",15.530025000000023,1570024,1322592,"matroska","mpeg4","aac",0,48
"earth.mp4",15.754675000003772,1570024,1322592,"matroska","mpeg4","aac",0,49
"earth.mp4",15.86594000000332,1570024,1322592,"matroska","mpeg4","aac",0,50
